Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nepal,NP,NPL,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,102.338880700405,101.960085640319,101.58530622086,101.646918459663,101.340422313106,101.282622977605,101.253008275097,104.545615995906,104.452687164619,104.526894070189,104.403329360455,104.116443648667,103.840650392988,103.622454858719,103.50535772332401,103.440681979937,103.21295528348399,102.873508320196,102.680641175329,101.890846929194,100.02723191035301,99.86608828476069,99.9955748145677,100.0,98.86170614726339,98.61716648396731,98.66182534093531,98.5045611649101,98.43542886646331,98.2992343602439,98.2333298158782
Nepal,NP,NPL,Artificial surfaces (including urban and associated areas),1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCS,Artificial Surfaces (Including Urban and Associated Areas),"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Artificial Surfaces (Including Urban and Associated Areas)",Climate altering,10.57,10.71,10.8,10.92,11.02,11.1,11.3,11.53,11.89,13.83,14.69,15.19,15.53,16.12,17.1,17.77,18.39,19.26,19.89,20.59,21.42,22.74,25.45,26.7,26.71,26.91,26.95,27.04,27.33,30.23,34.24
Nepal,NP,NPL,Grassland,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCG,Grassland,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Grassland",Climate regulating,3202.53,3202.5,3202.49,3186.11,3184.06,3184.56,3185.92,3216.34,3217.85,3222.54,3220.29,3216.76,3213.97,3212.24,3212.51,3211.27,3212.23,3213.54,3214.5,3214.98,3215.18,3216.48,3217.93,3217.93,3210.39,3207.88,3205.73,3199.44,3197.07,3193.5,3187.28
Nepal,NP,NPL,Herbaceous crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCH,Herbaceous Crops,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Herbaceous Crops",Climate altering,2995.87,2984.6,2973.5,2975.19,2966.09,2964.31,2963.24,3059.74,3056.65,3056.89,3052.4,3043.47,3035.03,3028.03,3023.61,3021.04,3013.73,3002.89,2996.59,2972.69,2917.11,2911.06,2912.15,2911.03,2877.58,2870.2,2871.47,2866.76,2864.4,2857.54,2851.59
Nepal,NP,NPL,Inland water bodies,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCW,Inland Water Bodies,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Inland Water Bodies",Climate regulating,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.51,30.56,30.57,30.57,30.58,30.6,30.76,30.78
Nepal,NP,NPL,Mangroves,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCM,Mangroves,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Mangroves",Climate regulating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,NP,NPL,Permanent snow and glaciers,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCL,Permanent Snow and Glaciers,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Permanent Snow and Glaciers",Climate regulating,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.22,488.39,488.22,488.22
Nepal,NP,NPL,Shrub-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCC,Shrub-Covered Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Shrub-Covered Areas",Climate regulating,557.91,557.9,557.9,538.34,534.0,530.63,530.78,556.12,558.11,563.18,560.29,552.9,548.17,539.38,536.8,528.64,526.66,526.94,527.92,527.48,528.09,528.48,529.44,529.34,524.83,523.56,525.36,526.28,527.85,526.42,525.1
Nepal,NP,NPL,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCV,Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded",Climate regulating,2.29,2.29,2.29,2.29,2.29,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.33,2.33,2.33,2.29,2.29,2.29,2.29,2.26,2.28,2.28
Nepal,NP,NPL,Sparsely natural vegetated areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCN,Sparsely Natural Vegetated Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Sparsely Natural Vegetated Areas",Climate neutral,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.31,10.31,10.31,10.31,10.31,10.32,10.32,10.32,10.32,10.32,10.33,10.33,10.4,10.4,10.4,10.4,10.4,10.75,11.0,11.22,11.22,11.23
Nepal,NP,NPL,Terrestrial barren land,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCT,Terrestrial Barren Land,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Terrestrial Barren Land",Climate neutral,192.1,192.1,192.1,190.35,190.27,190.26,190.17,190.03,190.15,187.82,187.28,187.2,187.03,186.77,186.84,186.72,186.42,186.54,186.54,186.47,186.34,186.82,186.62,186.62,187.09,187.15,189.15,189.07,188.84,189.63,190.38
Nepal,NP,NPL,Tree-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCE,Tree-Covered Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Tree-Covered Areas",Climate regulating,7260.73,7260.75,7260.74,7285.35,7289.92,7283.4,7271.8,7104.29,7092.17,7071.05,7076.66,7088.62,7097.2,7109.3,7111.0,7120.96,7120.98,7118.66,7114.08,7114.5,7113.83,7110.87,7104.69,7104.79,7153.15,7164.8,7161.36,7171.64,7174.4,7183.45,7192.73
Nepal,NP,NPL,Woody crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCR,Woody Crops,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Woody Crops",Climate regulating,48.79,59.93,70.96,82.23,93.15,104.22,115.27,130.44,141.67,153.17,156.87,164.33,171.55,176.64,180.61,182.07,190.06,200.65,208.94,231.75,286.48,291.93,292.08,291.97,288.62,287.88,288.0,287.53,287.29,286.61,286.01
